,manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
0,203,081-093700203-5,6.0,,18.0,36.0,True,209.76,304.0,False,Indoor Lighting,Dimond Lighting,White Obelisk Table Lamp With Night Light,,,,,,,,,,,CHN,,,,,,,,,,,,,,White,,,,,,Glass,,,,,,,,,,,,,,,,10.0,19.0,34.0,19.0,,,,,,,,,,,,,Modern / Contemporary
1,205,081-093700205-9,12.0,,18.0,31.0,True,211.14,306.0,False,Indoor Lighting,Dimond Lighting,Antiqued Porcelain Table Lamp In Celadon Crackle Finish,,,,,,,,,,,CHN,,,,,,,,,,,,,,Celadon,,,,,,Ceramic,,,,,,,,,,,,,,,,14.0,21.0,18.2,18.2,,,,,,,,,,,,,Traditional
2,208,081-093700208-0,7.0,,10.0,27.0,True,184.92,268.0,False,Indoor Lighting,Dimond Lighting,Bisque Ceramic Table Lamp In Taupe,,,,,,,,,,,CHN,,,,,,,,,,,,,,Taupe,,,,,,Ceramic,,,,,,,,,,,,,,,,10.0,27.7,12.0,12.0,,,,,,,,,,,,,Modern / Contemporary
3,210,081-093700210-3,8.0,,20.0,25.0,True,139.38,202.0,False,Indoor Lighting,Dimond Lighting,Recycled Fluted Glass Urn Table Lamp In Blue,,,,,,,,,,,CHN,,,,,,,,,,,,,,Blue,,,,,,"Recycled Glass, Acrylic",,,,,,,,,,,,,,,,10.0,21.0,23.0,21.0,,,,,,,,,,,,,Traditional
4,217,081-093700217-2,10.0,,18.0,34.0,True,201.48,292.0,False,Indoor Lighting,Dimond Lighting,Fluted Mercury Glass Table Lamp In Silver,,,,,,,,,,,CHN,,,,,,,,,,,,,,Silver,,,,,,Glass,,,,,,,,,,,,,,,,12.0,25.9,18.2,18.2,,,,,,,,,,,,,Modern / Contemporary
5,239,081-093700239-4,7.0,,18.0,28.0,True,144.90,210.0,False,Indoor Lighting,Dimond Lighting,Amber Crackle Arctic Glass Table Lamp,,,,,,,,,,,CHN,,,,,,,,,,,,,,Amber Crackle,,,,,,Glass,,,,,,,,,,,,,,,,10.0,19.0,21.3,19.0,,,,,,,,,,,,,Transitional
6,248,081-093700248-6,10.0,,16.0,24.0,True,146.28,212.0,False,Indoor Lighting,Dimond Lighting,Ribbed Terra Cotta Table Lamp In Tomato Red,,,,,,,,,,,CHN,,,,,,,,,,,,,,Tomato Red,,,,,,Ceramic,,,,,,,,,,,,,,,,12.0,25.5,14.5,11.5,,,,,,,,,,,,,Transitional
7,271,081-093700271-4,8.0,,18.0,28.0,True,166.98,242.0,False,Indoor Lighting,Dimond Lighting,Ceramic Ball Table Lamp In White And Amethyst,,,,,,,,,,,CHN,,,,,,,,,,,,,,White,,,,,,Ceramic,,,,,,,,,,,,,,,,11.0,29.7,14.0,16.2,,,,,,,,,,,,,Traditional
8,276,081-093700276-9,10.0,,16.0,30.0,True,136.62,198.0,False,Indoor Lighting,Dimond Lighting,Earthenware Pineapple Top Ceramic Table Lamp,,,,,,,,,,,CHN,,,,,,,,,,,,,,Matte,,,,,,Ceramic,,,,,,,,,,,,,,,,13.0,18.0,25.3,18.0,,,,,,,,,,,,,Traditional
9,281,081-093700281-3,18.0,,18.0,64.0,True,372.60,540.0,False,Indoor Lighting,Dimond Lighting,Modern Wood and White Bisque Ceramic Floor Lamp,,,,,,,,,,,CHN,,,,,,,,,,,,,,"Modern Wood, White Bisque",,,,,,"Ceramic, Wood",,,,,,,,,,,,,,,,20.0,50.3,19.0,19.0,,,,,,,,,,,,,Modern / Contemporary
