manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,product__arm_height,product__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__designer_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product_styles
D2612B,074-811907462-7,5.50,20.00,20.00,35.00,True,202.50,270.00,False,Indoor Lighting,Dimond Lighting,(Blue) Cubist Ceramic Bottle Table Lamp,,,,,,,,,,1,CHN,O-100000,,,,,No,A21 3-Way,,,,,False,,Blue,,False,False,,,Ceramic,1,,False,,,,,White Linen Hardback Shade,,3-Way,True,,150,,,6.70,20.00,31.00,20.00,,,,,,,,,Transitional
D2611NB,074-811907461-0,3.00,18.00,18.00,36.00,True,183.00,244.00,False,Indoor Lighting,Dimond Lighting,(Blue) Modern Ceramic Vase Table Lamp,"Fashion icon Coco Chanel famously said: elegance is refusal. She would have loved our Modern Vase Table Lamp: Smooth, softly contoured ceramic silhouette. Rich, yet soothing Smoke Blue palette. Fashionable Antique Brass appointments. Quality textured linen shade. Refuses everything; Holds nothing back.",,,,,,,,,1,CHN,O-100001,,,,,No,A21 3-Way,,66,,,False,,"Antique Brass, Navy Blue",,False,False,,,"Ceramic, Metal",1,,False,,,,,White Textured Linen Hardback Shade,,3-Way,True,,150,,,11.00,20.00,32.00,19.00,,,,,,,,,Traditional
D2611C,074-811907460-3,4.00,18.00,18.00,36.00,True,183.00,244.00,False,Indoor Lighting,Dimond Lighting,(Cream) Modern Ceramic Vase Table Lamp,"Fashion icon Coco Chanel famously said: elegance is refusal. She would have loved our Modern Vase Table Lamp: Smooth, softly contoured ceramic silhouette. Rich, yet soothing Crème palette. Fashionable Antique Brass appointments. Quality textured linen shade. Refuses everything; Holds nothing back.",,,,,,,,,1,CHN,O-100001,,,,,No,A21 3-Way,,66,,,False,,"Antique Brass, Cream",,False,False,,,"Ceramic, Metal",1,,False,,,,,White Textured Linen Hardback Shade,,3-Way,True,,150,,,5.00,19.00,30.00,19.00,,,,,,,,,Traditional
D2599,074-811907452-8,6.50,17.00,17.00,30.00,True,295.50,394.00,False,Indoor Lighting,Dimond Lighting,(Pearlescent White) Hand Formed Ceramic Foliage Table Lamp,,Hand Formed Ceramic,,,,,,,,1,CHN,O-100002,,,,,No,A21 3-Way,,,,,False,,Pearlescent White,,False,,,,"Ceramic, Metal",1,,False,,,,,White Linen Hardback Shade,,3-Way,True,,150,,,13.00,18.00,19.00,18.00,,,,,,,,,Traditional
D2597,074-811907450-4,4.00,12.00,19.00,34.00,True,186.00,248.00,False,Indoor Lighting,Dimond Lighting,(Red) Fluted Ceramic Vase Table Lamp,"This Table Lamp Is Traditional And Elegant In Form, Earthware Is Given A Rich Glaze Accenting The Gentle Ribs Of The Lamp Body And Accented With An Antique Brass Base. The Lamp Is Finished With A Hardback Shade In A Crisp Cream Faux Silk To Ensure It Has",,,,,,,,,1,CHN,O-100003,,,,,No,A21 3-Way,,,,,False,,"Brass, Red",,False,,,,"Ceramic, Metal",1,,False,,,,,Cream Faux Silk Hardback Shade With White Fabric Liner,,3-Way,True,,150,,,5.00,19.50,28.00,12.50,,,,,,,,,Traditional
D2596,074-811907449-8,4.00,12.00,19.00,34.00,True,199.50,266.00,False,Indoor Lighting,Dimond Lighting,(White) Fluted Ceramic Vase Table Lamp,"This Table Lamp Is Traditional And Elegant In Form, Earthware Is Given A Rich Glaze Accenting The Gentle Ribs Of The Lamp Body And Accented With An Antique Brass Base. The Lamp Is Finished With A Hardback Shade In A Crisp Cream Faux Silk To Ensure It Has",,,,,,,,,1,CHN,O-100003,,,,,No,A21 3-Way,,66,,,False,,"Brass, White",,False,,,,"Ceramic, Metal",1,,False,,,,,White Faux Silk Hardback Shade With White Fabric Liner,,3-Way,True,,150,,,9.00,28.00,20.00,12.00,,,,,,,,,Traditional
8983-036,081-800803323-0,8.00,15.00,14.50,31.00,True,202.50,270.00,False,Furniture,Dimond Home,1 Wall Street Chrome Accent Table,,,,,,,,,,1,IND,O-100004,,,,,,,,,,,False,,Nickel,,,,,,"Glass, Steel",,,False,,,,,,,,False,,,,,9.40,16.50,36.00,16.50,,,,,,,,,Modern / Contemporary
8983-037,081-800803324-7,7.99,15.00,14.50,31.00,True,202.50,270.00,False,Furniture,Dimond Home,1 Wall Street Gold Accent Table,,,,,,,,,,1,IND,O-100004,,,,,,,,,,,False,,Gold,,,,,,"Glass, Steel",,,False,,,,,,,,False,,,,,9.40,16.50,36.00,16.50,,,,,,,,,Modern / Contemporary
17027/1-LED,074-811905642-5,11.00,14.00,14.00,56.00,True,214.50,286.00,False,Indoor Lighting,Dimond Lighting,1- Light Floor Lamp In Aged Bronze - Led Offering Up To 800 Lumens (60 Watt Equivalent) With Full Ra,"Perfect for any executive or residential reading area, the Elysburg LED Floor Lamp offers classic good looks and high quality swingarm construction. Generously scaled with a convenient 3-way switch and silky Taupe fabric shade. Distinctive Aged Bronze finish.","Generously Scaled, With A Convenient 3-Way Switch.",Silky Taupe Hardback Fabric Shade.,Distinctive Aged Bronze Finish.,Durable Led Technology.,,,,,1,CHN,O-100005,,,,,Yes,LED,,72,,,False,,Aged Bronze,,False,False,,,Steel,1,,False,,,,,Taupe Faux Silk Hardback Shade,,Line Switch,False,,9.5,,,13.00,17.00,18.00,17.00,,,,,,,,,Traditional
17047/1-LED,074-811905643-2,11.00,14.00,14.00,56.00,True,214.50,286.00,False,Indoor Lighting,Dimond Lighting,1- Light Floor Lamp In Satin Nickel - Led Offering Up To 800 Lumens (60 Watt Equivalent) With Full R,"Perfect for any executive or residential reading area, the Elysburg LED Floor Lamp offers classic good looks and high quality swingarm construction. Generously scaled with a convenient 3-way switch and silky Taupe fabric shade. Stylish Satin Nickel finish.","Generously Scaled, With A Convenient 3-Way Switch.",Silky Taupe Hardback Fabric Shade.,Stylish Satin Nickel Finish.,Durable Led Technology.,,,,,1,CHN,O-100005,,,,,Yes,LED,,72,,,False,,Satin Nickel,,False,False,,,Metal,1,,False,,,,,White Faux Silk Hardback Shade,,Line Switch,False,,9.5,,,13.00,17.00,18.00,17.00,,,,,,,,,Traditional
